delta	c	MAP	P30
0.55	2	0.2457	0.3037
0.55	2.05	0.2459	0.3043
0.55	2.1	0.2462	0.3041
0.55	2.15	0.2463	0.3043
0.55	2.2	0.2464	0.3044
0.55	2.25	0.2468	0.3051
0.55	2.3	0.247	0.3051
0.55	2.35	0.2472	0.3058
0.55	2.4	0.2474	0.3059
0.55	2.45	0.2476	0.3059
0.55	2.5	0.2478	0.306
0.55	2.55	0.248	0.3059
0.55	2.6	0.2482	0.307
0.55	2.65	0.2484	0.3068
0.55	2.7	0.2486	0.3067
0.55	2.75	0.2486	0.3066
0.55	2.8	0.2487	0.3068
0.55	2.85	0.2486	0.3067
0.55	2.9	0.249	0.3068
0.55	2.95	0.249	0.3072
0.55	3	0.2491	0.3071
0.55	3.05	0.2492	0.3072
0.55	3.1	0.2494	0.3072
0.55	3.15	Evaluation
0.55	3.2	0.2497	0.3072
0.55	3.25	0.2504	0.3074
0.55	3.3	0.2504	0.3078
0.55	3.35	0.2506	0.308
0.55	3.4	0.248	0.3051
0.55	3.45	0.2505	0.3076
0.55	3.5	Evaluation
0.55	3.55	0.2501	0.3063
0.55	3.6	0.251	0.3084
0.55	3.65	0.251	0.3083
0.55	3.7	0.2493	0.3067
0.55	3.75	0.251	0.309
0.55	3.8	0.2511	0.3091
0.55	3.85	0.2511	0.3092
0.55	3.9	0.2511	0.3088
0.55	3.95	0.2511	0.309
0.55	4	0.2511	0.3088
0.56	2	0.2458	0.3039
0.56	2.05	0.246	0.3041
0.56	2.1	0.2463	0.3039
0.56	2.15	Evaluation
0.56	2.2	0.2464	0.3041
0.56	2.25	0.2469	0.3047
0.56	2.3	0.247	0.305
0.56	2.35	0.2472	0.3054
0.56	2.4	0.2474	0.3056
0.56	2.45	0.2477	0.3059
0.56	2.5	0.2478	0.3059
0.56	2.55	0.2481	0.3058
0.56	2.6	0.2482	0.3067
0.56	2.65	0.2484	0.3067
0.56	2.7	0.2486	0.3067
0.56	2.75	0.2487	0.3066
0.56	2.8	0.2487	0.3067
0.56	2.85	0.2486	0.3067
0.56	2.9	0.249	0.3068
0.56	2.95	0.2491	0.3071
0.56	3	0.2491	0.3074
0.56	3.05	0.2492	0.3072
0.56	3.1	0.2494	0.3074
0.56	3.15	0.2497	0.307
0.56	3.2	0.2503	0.3074
0.56	3.25	Evaluation
0.56	3.3	0.2505	0.3076
0.56	3.35	0.2506	0.308
0.56	3.4	0.2507	0.3075
0.56	3.45	0.2507	0.3075
